description,price,rating,review_count,url
"PHILIPS Sonicare 4100 Power Toothbrush, Rechargeable Electric Toothbrush with Pressure Sensor, White HX3681/23",29,4.4 out of 5 stars,"29,711",https://www.amazon.com/Philips-Sonicare-Toothbrush-Rechargeable-HX3681/dp/B09LD8T445/ref=sr_1_1?keywords=Philips&qid=1701064576&sr=8-1
"Philips Norelco Exclusive Shaver 5000X, Rechargeable Wet & Dry Shaver with Precision Trimmer and Storage Pouch, X5006/85",59,4.5 out of 5 stars,"38,277",https://www.amazon.com/Philips-Norelco-Rechargeable-X5006-85/dp/B0BZDQV44P/ref=sr_1_2?keywords=Philips&qid=1701064576&sr=8-2
"Philips Norelco Multigroom Series 7000, Mens Grooming Kit with Trimmer for Beard, Head, Hair, Body, Groin, and Face - NO Blade Oil Needed, MG7910/49",49,4.6 out of 5 stars,"60,236",https://www.amazon.com/Philips-Norelco-Multigroom-Grooming-Trimmer/dp/B0BQN7TMFS/ref=sr_1_3?keywords=Philips&qid=1701064576&sr=8-3
"Philips Norelco Multigroomer All-in-One Trimmer Series 3000, 13 Piece Mens Grooming Kit, for Beard, Face, Nose, and Ear Hair Trimmer and Hair Clipper, NO Blade Oil Needed, MG3750/60",19,4.5 out of 5 stars,"156,795",https://www.amazon.com/Philips-Norelco-Multigroom-attachment-MG3750/dp/B01K1HPA60/ref=sr_1_4?keywords=Philips&qid=1701064576&sr=8-4
"Philips Sonicare 9900 Prestige Rechargeable Electric Power Toothbrush with SenseIQ, Midnight, HX9990/12",249,4.3 out of 5 stars,"1,353",https://www.amazon.com/Philips-Sonicare-Rechargeable-Toothbrush-HX9990/dp/B08YCVJKXV/ref=sr_1_5?keywords=Philips&qid=1701064576&sr=8-5
"Philips Norelco OneBlade 360 Face + Body, Hybrid Electric Razor and Beard Trimmer for Men with 5-in-1 Face Stubble Comb and Body Hair Trimmer Kit, QP2834/70",39,4.6 out of 5 stars,"89,282",https://www.amazon.com/Philips-Norelco-OneBlade-QP2834-70/dp/B0BZDPFH45/ref=sr_1_6?keywords=Philips&qid=1701064576&sr=8-6
PHILIPS Oneblade Replacement Blade,32,4.7 out of 5 stars,"36,071",https://www.amazon.com/Philips-QP230-50-Oneblade-Replacement/dp/B0743KVCJC/ref=sr_1_7?keywords=Philips&qid=1701064576&sr=8-7
"Philips Norelco 9800 Rechargeable Wet & Dry Electric Shaver with Quick Clean, Travel Case, Pop up Trimmer, Charging Stand, S9987/85",199,4.5 out of 5 stars,"1,590",https://www.amazon.com/Philips-Norelco-Rechargeable-S9987-85/dp/B09DH6ST66/ref=sr_1_8?keywords=Philips&qid=1701064576&sr=8-8
"Philips Norelco Exclusive Bodygroom Series 7000 Showerproof Body & Manscaping Trimmer & Shaver with case and Replacement Head for Above and Below The Belt, BG7040/42",52,4.5 out of 5 stars,"11,764",https://www.amazon.com/Philips-Norelco-Bodygroomer-BG7040-42/dp/B07H3CKT12/ref=sr_1_9?keywords=Philips&qid=1701064576&sr=8-9
"Philips Norelco Genuine OneBlade Replacement Blades, 2 Count, QP220/80",24,4.7 out of 5 stars,"38,601",https://www.amazon.com/Philips-Norelco-Replacement-QP220-80/dp/B01D328DG4/ref=sr_1_10?keywords=Philips&qid=1701064576&sr=8-10
"Philips Norelco Genuine OneBlade Replacement Blades, 3 Count, QP230/80",34,4.8 out of 5 stars,"27,368",https://www.amazon.com/Philips-Norelco-Replacement-QP230-80/dp/B078BDX285/ref=sr_1_11?keywords=Philips&qid=1701064576&sr=8-11
"Philips Norelco Multigroom Men's Beard Grooming Kit with Trimmer for Head Body, Face -Stainless Steel with Travel Case",49,4.4 out of 5 stars,708,https://www.amazon.com/Philips-Norelco-Multigroom-Grooming-Stainless/dp/B081ZG94S9/ref=sr_1_12?keywords=Philips&qid=1701064576&sr=8-12
"Philips Norelco Shaver 7800, Rechargeable Wet & Dry Electric Shaver with SenseIQ Technology, Quick Clean Pod, Charging Stand, Travel Case and Pop-up Trimmer, S7885/85",111,4.5 out of 5 stars,"4,330",https://www.amazon.com/Philips-Norelco-Rechargeable-Technology-S7885/dp/B0BPZR1MBC/ref=sr_1_13?keywords=Philips&qid=1701064576&sr=8-13
"Philips 3200 Series Fully Automatic Espresso Machine - LatteGo Milk Frother & Iced Coffee, 5 Coffee Varieties, Intuitive Touch Display, Black, (EP3241/74)",549,4.4 out of 5 stars,819,https://www.amazon.com/PHILIPS-Automatic-Espresso-EP3241-74/dp/B0B7P81K6S/ref=sr_1_14?keywords=Philips&qid=1701064576&sr=8-14
"Philips Norelco Shaver 7200, Rechargeable Wet & Dry Electric Shaver with SenseIQ Technology and Pop-up Trimmer S7887/82",79,4.4 out of 5 stars,"6,676",https://www.amazon.com/Philips-Norelco-Rechargeable-Technology-S7887/dp/B0BPZ8GWYQ/ref=sr_1_15?keywords=Philips&qid=1701064576&sr=8-15
"Philips Norelco Shaver 5400, Rechargeable Wet & Dry Shaver with Pop-Up Trimmer, S5880/81",59,4.4 out of 5 stars,"1,941",https://www.amazon.com/Philips-Norelco-Rechargeable-S5880-81/dp/B0BF9QHHLJ/ref=sr_1_16?keywords=Philips&qid=1701064576&sr=8-16
"Philips Sonicare Genuine C2 Optimal Plaque Control Toothbrush Heads, 3 Brush Heads, White, HX9023/65",22,4.8 out of 5 stars,"62,666",https://www.amazon.com/Philips-Sonicare-replacement-toothbrush-HX9023/dp/B078BF27BF/ref=sr_1_17?keywords=Philips&qid=1701064576&sr=8-17
"Philips Norelco OneBlade 360 Pro Hybrid Electric Trimmer, QP6531/70, Black",49,4.6 out of 5 stars,"89,282",https://www.amazon.com/Philips-Norelco-OneBlade-QP6531-70/dp/B0BTZTBGS7/ref=sr_1_18?keywords=Philips&qid=1701064576&sr=8-18
"Philips Sonicare Genuine C3 Premium Plaque Control Toothbrush Heads, 4 Brush Heads, White, HX9044/65",32,4.8 out of 5 stars,"23,736",https://www.amazon.com/Philips-Sonicare-replacement-HX9044-recognition/dp/B0719D46NY/ref=sr_1_19?keywords=Philips&qid=1701064576&sr=8-19
"Philips Sonicare Genuine A3 Premium All-in-One Replacement Toothbrush Heads, 2 Brush Heads, Black, HX9092/95",23,4.7 out of 5 stars,"4,468",https://www.amazon.com/Philips-Sonicare-Toothbrush-HX9092-95/dp/B091TTH7PT/ref=sr_1_20?keywords=Philips&qid=1701064576&sr=8-20
"Norelco Multigroom Series 9000 - 21 piece Men's Grooming Kit for beard, body, face, nose, ear hair trimmer w/ premium storage case, MG9510/60",69,4.6 out of 5 stars,"3,898",https://www.amazon.com/NEW-Philips-Norelco-Multigroom-9000/dp/B0BQN8QH8P/ref=sr_1_21?keywords=Philips&qid=1701064576&sr=8-21
