description,price,rating,review_count,url
"2022 Newest Inspiron 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB DDR4 RAM, 2TB PCIe SSD, SD Card Reader, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",604,4.5 out of 5 stars,11,https://www.amazon.com/Dell-Inspiron-Touchscreen-i5-1135G7-Windows/dp/B0B6WSGN8J/ref=sr_1_97?keywords=dell+laptop&qid=1700561013&sr=8-97
"Chromebook 11 3100 Rugged Chromebook, 11.6"" HD Anti-Glare Screen, Intel Celeron N4020, 4GB LPDDR4 RAM, 16GB eMMC Storage, Spill-Resistant Keyboard, HD Webcam, WiFi 5, Black, Chrome OS",179,,,https://www.amazon.com/DELL-Chromebook-11-3100-Spill-Resistant/dp/B0CHHZR1SY/ref=sr_1_98?keywords=dell+laptop&qid=1700561013&sr=8-98
"2023 Inspiron 15 3520 Business Laptop, 15.6"" FHD (1920x1080p Intel i3-1115G4 up to 4.1GHz (Beats N4020), UHD Graphics, Carbon Black (12G, 512G SSD, Win 11 Pro)",499,4.5 out of 5 stars,2,https://www.amazon.com/Inspiron-15-3520-1920x1080p-i3-1115G4/dp/B0CGG2NXRG/ref=sr_1_99?keywords=dell+laptop&qid=1700561013&sr=8-99
"Inspiron 15 Touchscreen Laptop 2022 Newest, 15.6"" FHD Display, 11th Gen Intel Core i7-1165G7 (up to 4.7 GHz), 16GB RAM, 1TB PCIE SSD, Webcam, Bluetooth 5, HDMI, Windows 11, Black",799,4.0 out of 5 stars,128,https://www.amazon.com/Dell-Inspiron-15-Touchscreen-i7-1165G7/dp/B09MCX6ZYN/ref=sr_1_100?keywords=dell+laptop&qid=1700561013&sr=8-100
"Latitude 3310 Laptop 13.3"" Touchscreen 2 in 1, i5-8365U, 16GB RAM, 500GB NVMe SSD, Wi-Fi, Bluetooth, Card Reader, Webcam, HDMI, USB C, Windows 11 Pro",609,,,https://www.amazon.com/Dell-Latitude-3310-Touchscreen-Bluetooth/dp/B00IA8LOZ4/ref=sr_1_102?keywords=dell+laptop&qid=1700561013&sr=8-102
"Latitude 3000 3420 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1145G7 Quad-core (4 Core) 2.60 GHz - 8 GB Total RAM - 256 GB SSD",749,,,https://www.amazon.com/Dell-XPS-8940-Special-Desktop/dp/B09JL8MB9N/ref=sr_1_103?keywords=dell+laptop&qid=1700561013&sr=8-103
"2023 Inspiron 15 Business Laptop, 15.6"" 1920x1080 FHD, 12th Gen Intel i5-1235U 4.4 GHz, 8GB RAM, 256G SSD Win 11 Pro, Webcam,Bluetooth, Carbon Black",499,,,https://www.amazon.com/Inspiron-15-Business-1920x1080-Bluetooth/dp/B0CK588WJ3/ref=sr_1_104?keywords=dell+laptop&qid=1700561013&sr=8-104
"Inspiron 15 15.6"" Laptop (FHD Touchscreen, AMD Ryzen 5 7530U, 16GB RAM, 512GB PCIe SSD, (6-Core Beat i7-1165G7) ) Numeric Keypad, Webcam, 2023 Inspiron 3000 3535, Win 11 Home, Carbon Black",479,5.0 out of 5 stars,3,https://www.amazon.com/Dell-Inspiron-Touchscreen-i7-1165G7-3535/dp/B0CL4S2JDG/ref=sr_1_105?keywords=dell+laptop&qid=1700561013&sr=8-105
"2023 Newest Inspiron Touchscreen Laptop, 15.6"" Touch Display, Intel Core i7 1355U Processor up to 5GHz, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, Wi-Fi 6, Bluetooth, Windows 11 Home",865,4.3 out of 5 stars,129,https://www.amazon.com/Dell-Inspiron-Touchscreen-Laptop-Processor/dp/B0C9PL5MX5/ref=sr_1_106?keywords=dell+laptop&qid=1700561013&sr=8-106
"Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",467,4.3 out of 5 stars,192,https://www.amazon.com/Dell-Inspiron-3511-Touchscreen-i5-1035G1/dp/B0B338HW3T/ref=sr_1_107?keywords=dell+laptop&qid=1700561013&sr=8-107
