description,price,rating,review_count,url
"Xiaomi Redmi 10 2022 4G LTE (64GB + 4GB) LTE GSM Unlocked 6.5"" 50MP Quad Cam (Tmobile Mint Tello and International Global) + (w/Fast Dual USB Car 51W Charger) (Carbon Gray Global ROM)",119,5.0 out of 5 stars,2,https://www.amazon.com/Xiaomi-Unlocked-Tmobile-International-Charger/dp/B0CG2BK8G3/ref=sr_1_49?keywords=redmi+phone&qid=1700931788&sr=8-49
"Xiaomi Redmi Note 11S 4G Volte 64GB + 6GB Factory Unlocked 6.43"" Quad Camera 108MP Night Mode (NOT Verizon Sprint Boost Cricket At&t) (w/Fast Car Charger Bundle) (Twilight Blue)",139,4.4 out of 5 stars,74,https://www.amazon.com/Xiaomi-Redmi-Note-Unlocked-Twilight/dp/B09R4K7HDF/ref=sr_1_50?keywords=redmi+phone&qid=1700931788&sr=8-50
"Redmi Xiaomi 13C 4G LTE (256GB + 8GB) Factory Unlocked Global ROM GSM 6.74"" 50MP Triple Camera (Tello Mint & Global) + Free Fast Car Charger (Midnight Black Global ROM) (Clover Green Global ROM)",164,,,https://www.amazon.com/Redmi-13C-Factory-Unlocked-Midnight/dp/B0CMJD8P95/ref=sr_1_51?keywords=redmi+phone&qid=1700931788&sr=8-51
RCA Reno Max | 6.5” HD+ Brightness Boost Display | 64GB + 4GB RAM | 4G LTE Unlocked Smartphone | Android 12 | Octa Core Processor | 16MP Triple Camera | 4000 mAh Battery | Black | T-Mobile,94,4.1 out of 5 stars,68,https://www.amazon.com/RCA-Brightness-Unlocked-Smartphone-Processor/dp/B0B7F5WZ5K/ref=sr_1_52?keywords=redmi+phone&qid=1700931788&sr=8-52
"Huness I23 Ultra Smartphone Unlocked Cell Phone,Built in Pen,Battery 6800mAh 6.8"" HD Screen Unlocked Phone,Android 13 6+256GB with 128GB Memory Card, Face ID/Fingerprint Lock/GPS (Purple)",189,5.0 out of 5 stars,3,https://www.amazon.com/Huness-Smartphone-Unlocked-Battery-Fingerprint/dp/B0CL531WTV/ref=sr_1_53?keywords=redmi+phone&qid=1700931788&sr=8-53
"Xiaomi Redmi Note 12 Pro 4G (256GB + 8GB) Factory Global Unlocked 6.67"" 108MP Pro Triple Camera (Tmobile/Tello/Mint USA Market) + Extra (Fast 33w Dual Car Charger) (Glacier Blue (Global))",249,4.9 out of 5 stars,121,https://www.amazon.com/Xiaomi-Factory-Unlocked-Tmobile-Charger/dp/B0C2PXKQ3B/ref=sr_1_54?keywords=redmi+phone&qid=1700931788&sr=8-54
"Xiaomi Redmi 10 5G + 4G LTE (64GB + 4GB) GSM Unlocked 6.58"" 50MP Dual Super Lens Cam (Tmobile Mint Tello and International Global) + Fast Dual USB Car 51W Charger (Chrome Silver Global)",144,4.2 out of 5 stars,50,https://www.amazon.com/Xiaomi-Unlocked-Tmobile-International-Charger/dp/B0BGYHMT6D/ref=sr_1_55?keywords=redmi+phone&qid=1700931788&sr=8-55
"Merwlukt I14ProMax Unlocked Phone, 6+256GB Android 13.0 Cell Phone, 6.7 inch FHD Screen, 6800mAh Large Battery, 64MP Camera, Dual SIM/Face ID/GPS 5G Phone, Purple",159,,,https://www.amazon.com/Merwlukt-I14ProMax-Unlocked-Android-6800mAh/dp/B0CGPSGH32/ref=sr_1_56?keywords=redmi+phone&qid=1700931788&sr=8-56
"UMIDIGI A15 Cell Phones (16G+256G), Android 13 Mobile Phone, 64MP Main Camera Octa Core Smartphone Unlocked 6.7” HD+ Full-View Waterdrop Screen, 5000mAh Battery 20W Fast Charging, 4G Dual SIM, GPS/NFC",135,4.0 out of 5 stars,209,https://www.amazon.com/UMIDIGI-A15-Smartphone-Full-View-Waterdrop/dp/B0CBV11LHX/ref=sr_1_57?keywords=redmi+phone&qid=1700931788&sr=8-57
"Xiaomi Redmi 10 4G LTE GSM Global Version Unlocked 6.5"" 50MP Quad Camera (Not Verizon Sprint Boost Cricket) + Fast Car Charger Bundle (Carbon Gray, 128GB + 4GB)",117,4.6 out of 5 stars,"1,273",https://www.amazon.com/Xiaomi-Factory-Unlocked-Verizon-Cricket/dp/B09DCL1QDN/ref=sr_1_58?keywords=redmi+phone&qid=1700931788&sr=8-58
