description,price,rating,review_count,url
"Galaxy A52 5G (128GB, 6GB) 6.5"" Super AMOLED, 64MP Quad Camera, Voice Over LTE GSM Unlocked (T-Mobile, AT&T, Global) International Model A526W (Awesome Black)",399,4.6 out of 5 stars,257,https://www.amazon.com/Samsung-Unlocked-T-Mobile-International-Awesome/dp/B09224MH11/ref=sr_1_193?keywords=samsung+Phone&qid=1700933548&sr=8-193
"ROG Phone 7 Cell Phone, 6.78” FHD+ 2448x1080 165Hz, 6000mAh Battery, 50MP/13MP/5MP Triple Camera, 16GB RAM, 512GB Storage, 5G LTE Unlocked Dual SIM, Phantom Black, AI2205-16G512G-BK [US Version]",999,4.5 out of 5 stars,6,https://www.amazon.com/ASUS-2448x1080-6000mAh-Unlocked-AI2205-16G512G-BK/dp/B0C6VVV4DV/ref=sr_1_194?keywords=samsung+Phone&qid=1700933548&sr=8-194
"AT&T Samsung Galaxy A02s, 32GB, Black - 4G 6.5"" Android Prepaid Smartphone - Carrier Locked to AT&T",137,4.0 out of 5 stars,137,https://www.amazon.com/Samsung-Galaxy-A02s-32GB-Black/dp/B09PH88ZM6/ref=sr_1_196?keywords=samsung+Phone&qid=1700933548&sr=8-196
"Galaxy S23 Ultra 5G S9180 Dual 256GB 12GB RAM, 200 MP Camera, Factory Unlocked, NGP Wireless Charger Included – Phantom Black",955,3.4 out of 5 stars,15,https://www.amazon.com/SAMSUNG-Factory-Unlocked-Wireless-Included/dp/B0BV7K9SHD/ref=sr_1_197?keywords=samsung+Phone&qid=1700933548&sr=8-197
"Galaxy S23 FE S-View Wallet Phone Case, Protective Cover with Card Holder Slot, Finger Tap Display Window, US Version, EF-ZS711CMEGUS, Mint",27,,,https://www.amazon.com/SAMSUNG-Protective-Display-Version-EF-ZS711CMEGUS/dp/B0CHFXTVL8/ref=sr_1_200?keywords=samsung+Phone&qid=1700933548&sr=8-200
"Galaxy S23 Ultra 5G S9180 Dual 256GB 12GB RAM, 200 MP Camera, Factory Unlocked, NGP Wireless Charger Included – Lavender",965,4.5 out of 5 stars,2,https://www.amazon.com/SAMSUNG-Factory-Unlocked-Wireless-Included/dp/B0BV7KRSVB/ref=sr_1_201?keywords=samsung+Phone&qid=1700933548&sr=8-201
Galaxy A42 5G 128GB Prism Dot Black for Verizon,329,4.0 out of 5 stars,3,https://www.amazon.com/Samsung-Galaxy-128GB-Prism-Verizon/dp/B09KMCR5KR/ref=sr_1_203?keywords=samsung+Phone&qid=1700933548&sr=8-203
"Galaxy S22+ Cell Phone, Factory Unlocked Android Smartphone, 128GB, 8K Camera & Video, Brightest Display Screen, Long Battery Life, Fast 4nm Processor, US Version, Black",769,,,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Brightest-Processor/dp/B0C8X7JW7H/ref=sr_1_208?keywords=samsung+Phone&qid=1700933548&sr=8-208
"Armor X13 Rugged Phones Unlocked, IP68/IP69K Waterproof Phone, MTk Helio G36 12GB+64GB, 50MP+24MP Night Vision Camera, 6.52"" Display, 6320mAh, Android 13, NFC, Fingerprint ID, Black",143,4.1 out of 5 stars,40,https://www.amazon.com/Ulefone-Unlocked-Waterproof-Display-Fingerprint/dp/B0CB3RJF2K/ref=sr_1_209?keywords=samsung+Phone&qid=1700933555&sr=8-209
Galaxy A21s A217M 64GB Dual SIM GSM Unlocked Android Smartphone (International Variant/US Compatible LTE) - Black,219,4.3 out of 5 stars,"1,462",https://www.amazon.com/Samsung-SM-A217M-DS-Cameras-International/dp/B089V7SLRQ/ref=sr_1_211?keywords=samsung+Phone&qid=1700933555&sr=8-211
