description,price,rating,review_count,url
"Samsung Galaxy S21 5G (128GB, 8GB) 6.2"" AMOLED 120Hz, Snapdragon 888, Global 5G Volte Fully Unlocked (AT&T, Verizon, T-Mobile, Global) G991U1 (w/ 25W Charge Cube & Fast Wireless Charger, Gray)",535,4.1 out of 5 stars,208,https://www.amazon.com/Samsung-Galaxy-S21-5G-Snapdragon/dp/B092CFG6MN/ref=sr_1_17?keywords=samsung+phone&qid=1700939591&sr=8-17
"Total by Verizon Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked)",39,4.0 out of 5 stars,519,https://www.amazon.com/Total-Verizon-Samsung-Galaxy-Black/dp/B0BBY6DHJ8/ref=sr_1_18?keywords=samsung+phone&qid=1700939591&sr=8-18
"SAMSUNG Galaxy A14 (SM-A145P/DS) Dual SIM,64GB + 4GB, Factory Unlocked GSM, International Version (Fast Car Charger Bundle) - No Warranty - (Black)",145,3.7 out of 5 stars,129,https://www.amazon.com/SAMSUNG-SM-A145P-Factory-Unlocked-International/dp/B0BTZ825B3/ref=sr_1_19?keywords=samsung+phone&qid=1700939591&sr=8-19
"SAMSUNG Galaxy A14 5G + 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Tello USA Market) 1 Year Warranty Latin America 6.6"" 50MP Triple Camera + (15W Wall Charger) (Black)",163,4.3 out of 5 stars,174,https://www.amazon.com/SAMSUNG-A14-5G-Unlocked-Worldwide/dp/B0C34FG6WF/ref=sr_1_20?keywords=samsung+phone&qid=1700939591&sr=8-20
"SAMSUNG Galaxy A12 Cell Phone, Factory Unlocked Android Smartphone, 32GB, Multi Camera System, Expandable Storage, Long Battery Life, 6.5” Infinity-V HD+ Display Screen, US Version, 32GB, Black",195,4.3 out of 5 stars,"1,056",https://www.amazon.com/Electronics-Unlocked-Smartphone-Multi-Camera-Expandable/dp/B08XX66S6Z/ref=sr_1_21?keywords=samsung+phone&qid=1700939591&sr=8-21
"SAMSUNG Galaxy A14 5G Dual SIM (128GB, 4GB) 6.6"" 90Hz Display, Octa-Core, 50MP Triple Camera, 4G Volte (GSM Unlocked for T-Mobile, Metro, Global) International Model A146M/DS (w/ 256GB SD, Green)",184,4.2 out of 5 stars,65,https://www.amazon.com/SAMSUNG-A14-Octa-Core-Unlocked-International/dp/B0C5YMP2X4/ref=sr_1_22?keywords=samsung+phone&qid=1700939591&sr=8-22
"SAMSUNG Galaxy A03 Core (SM-A032/DS) Dual SIM 32GB/ 2GB RAM, GSM Unlocked International Version - No Warranty - Black",80,3.8 out of 5 stars,"1,865",https://www.amazon.com/Samsung-Galaxy-A03-Core-International/dp/B09Q98BRRN/ref=sr_1_23?keywords=samsung+phone&qid=1700939591&sr=8-23
"SAMSUNG Galaxy S23 Ultra 5G SM-S918B/DS 256GB 12GB RAM, 200 MP Camera, Factory Unlocked, NGP Wireless Charger Included – Cream",952,4.2 out of 5 stars,108,https://www.amazon.com/SAMSUNG-SM-S918B-Unlocked-Wireless-Included/dp/B0BSLD9D79/ref=sr_1_24?keywords=samsung+phone&qid=1700939591&sr=8-24
"SAMSUNG Galaxy A23 (SM-A235M/DS) Dual SIM,64 GB 4GB RAM, Factory Unlocked GSM, International Version - No Warranty - (Black)",172,4.1 out of 5 stars,592,https://www.amazon.com/Samsung-SM-A235M-DS-Unlocked-International/dp/B09W36KRX3/ref=sr_1_25?keywords=samsung+phone&qid=1700939591&sr=8-25
"Samsung Galaxy A54 5G Dual 256GB ROM 8GB Octa-Core, 50MP Camera, 4G Volte (GSM Unlocked for T-Mobile, Metro, Global) International Model Cell Phone A546E/DS (w/ 25W Charge Cube, Violet)",359,4.2 out of 5 stars,33,https://www.amazon.com/A54-Octa-Core-Unlocked-T-Mobile-International/dp/B0C63SKGRF/ref=sr_1_26?keywords=samsung+phone&qid=1700939591&sr=8-26
